""	""	""	""	""	""	""	"Price Performance "	""	"Moving Averages"	""	""	""	""
"S.no"	"Ticker "	"Company"	"250"	"Price"	"Change "	"Change %"	"5"	"10"	"5"	"10"	"Market cap"	"PE"	"Volume "
"1"	"SBIN"	"State Bank of India"	""	"485.5"	"5.5"	"0.0115"	"0.012196393203377509"	"-0.03956478733926805"	"479.825"	"493.8857142857143"	"4323086322177"	"13.56"	"16710020"
"2"	"Zomato"	"Zomato Ltd"	""	"61.7"	"0.55"	"0.009000000000000001"	"-0.0426687354538402"	"-0.22487437185929637"	"118.32202072538864"	"118.32202072538864"	"461773328500"	"-"	"47189321"
"3"	"AdaniENT"	"Adani Enterprises Ltd"	""	"2247.5"	"-7.9"	"-0.0034999999999999996"	"-0.002795279084213398"	"-0.0617041706675574"	"1833.686363636364"	"1833.686363636364"	"2477097754489"	"318.34"	"1161579"
"4"	"Reliance"	"Reliance Industries Ltd"	""	"2628"	"-12.9"	"-0.0049"	"-0.024372134464388462"	"-0.0531947471763371"	"1236.6286705202322"	"1236.6286705202322"	"17744943693076"	"30.25"	"9068448"
"5"	"BhartiARTL"	"Bharti Airtel Limited"	""	"711"	"-7.95"	"-0.0111"	"-0.01578073089700993"	"-0.05989686632288771"	"461.4251845493559"	"461.4251845493559"	"4310579641923"	"132.2"	"5912312"
"6"	"HDFCbank"	"HDFC Bank Limited"	""	"1321.05"	"-31.9"	"-0.0236"	"-0.025774336283185928"	"-0.03717065704602607"	"1432.5888505747125"	"1432.5888505747125"	"91383830785"	"19.34"	"13365634"
"7"	"Wipro"	"Wipro Limited"	""	"486.3"	"-14.85"	"-0.0296"	"-0.011082867310625244"	"-0.0811525743977326"	"315.39482248520716"	"315.39482248520716"	"33656954211"	"21.82"	"9220891"
"8"	"Dmart"	"Avenue Supermarts Ltd"	""	"3720"	"-223.8"	"-0.0567"	"-0.03805127807299957"	"-0.08017555789083264"	"3857.3217687074825"	"3857.3217687074825"	"2374023780882"	"164.2"	"858787"
""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	" "	""	""	""	""	""	""	""	""
